seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t1_4_1_0.tob,27,,未翻,
2,0x1c,system,system,r2_t1_4_1_0.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_ターン1_投票前,19,ROM2_回合1_投票前,人工定稿,
4,0x40,dialogue,narrative,ロム2_TURN1_投票,16,ROM2_回合1_投票,人工定稿,
5,0x51,dialogue,narrative,前,2,前,人工定稿,
6,0x54,dialogue,narrative,参加ｽﾙ,6,參加,人工定稿,
7,0x5b,dialogue,narrative,_参加ｼﾅｲ,8,_不參加,人工定稿,
8,0x64,dialogue,label,<switch_err> ﾆ分岐ｼﾃｷﾀ,22,<switch_err> 分支到了,人工定稿,"终轮分岐行统一: ﾆ=助词に, 基准形 分支到了"
9,0x7c,dialogue,narrative,ロム2_ターン1_投票,18,ROM2_回合1_投票,人工定稿,
10,0x90,dialogue,narrative,西野ｦ調査,9,調査西野,人工定稿,
11,0x9a,dialogue,narrative,0.薫ｦ調査,9,0.調査薰,人工定稿,
12,0xa4,dialogue,narrative,樫沢ｦ調査,9,調査樫澤,人工定稿,
13,0xae,dialogue,narrative,0.フェードアウト,16,0.淡出,人工定稿,
14,0xc0,dialogue,narrative,ロム2_メール受信･役職ﾊ,22,ROM2_郵件接收、身份是,人工定稿,
15,0xd8,system,system,0110,4,,未翻,
16,0xdd,dialogue,narrative,_4_｢……ｻﾃ､一通ﾘ話ﾊ聞ｲﾀｶ……｣,29,_4_｢……好了，大致聽過了……｣,人工定稿,导入警告: kana_residue
17,0xfc,dialogue,narrative,ﾀｲｼﾀ収穫ﾊﾅｶｯﾀﾖｳﾆ思ｳが……｡,26,似乎沒什麼大收穫……,人工定稿,
18,0x118,system,system,0102,4,,未翻,
19,0x11d,dialogue,narrative,_4_｢ｺﾚｶﾗどｳｼﾏｽ?｣,16,_4_｢接下來如何?｣,人工定稿,导入警告: kana_residue
20,0x12e,system,system,s,1,,未翻,
21,0x130,system,system,0111,4,,未翻,
22,0x135,dialogue,narrative,_4_｢エレベータﾉ裏ﾆ給湯室がｱｯﾀﾅ｡,31,_4_｢電梯後面有茶水間。,人工定稿,导入警告: kana_residue
23,0x158,dialogue,narrative,ｿｺﾄ､トイレﾉ水が流ﾚﾙｶどｳｶﾓ,25,順便也確認廁所的水能否沖,人工定稿,
24,0x174,dialogue,narrative,確認ｼﾃｵｺｳｶ｣,11,看看咯｣,人工定稿,导入警告: kana_residue
25,0x180,dialogue,narrative,長丁場ﾆﾅﾙ場合､ｶﾅﾘ重要ﾆﾅｯﾃｸﾙ部分だ｡,34,若是長期作戰，這部分會很重要。,人工定稿,
26,0x1a4,system,system,0103,4,,未翻,
27,0x1a9,dialogue,narrative,_4_｢ｿｳｯｽﾈ｡行ｷﾏｼｮｳ!,18,_4_｢對哦。出發咯!,人工定稿,导入警告: kana_residue
28,0x1bc,dialogue,narrative,ｱﾀｼ丁度トイレ行ｷﾀｶｯﾀﾝｽﾖ!｣,25,我正好也想去廁所!｣,人工定稿,导入警告: kana_residue
29,0x1d8,system,system,0112,4,,未翻,
30,0x1dd,dialogue,narrative,_4_｢……ﾌﾑ｡ｺｺﾗﾆﾓ脱出口ﾊﾅｲｶ｣,27,_4_｢……唔，這附近沒出口?｣,人工定稿,导入警告: kana_residue
31,0x1fc,system,system,0104,4,,未翻,
32,0x201,dialogue,narrative,_4_｢ﾌｩ｡ｵ姉ｻﾏ､トイレﾉ水ﾊ流ﾚﾏｼﾀﾖ｣,31,_4_｢呼。姐姐大人，廁所的水沖了｣,人工定稿,导入警告: kana_residue
33,0x224,system,system,0113,4,,未翻,
34,0x229,dialogue,narrative,_4_｢ｿｳｶ｡ｿﾚﾊﾖｶｯﾀ｣,16,_4_｢哦，太好了｣,人工定稿,P7 校对修正: 補完句尾(太好→太好了)
35,0x23a,system,system,s,1,,未翻,
36,0x23c,dialogue,narrative,だが､妙でﾓｱﾙ｡,13,但也奇怪。,人工定稿,
37,0x24a,system,system,s,1,,未翻,
38,0x24c,dialogue,narrative,ｺﾉビルﾉ感じ､,12,大樓的感覺，,人工定稿,
39,0x259,system,system,ts,2,,未翻,
40,0x25c,dialogue,narrative,廃墟ﾆﾅｯﾃ何年ﾓ経ｯﾃｿｳﾅﾉﾆ,22,明明成廢墟好多年了,人工定稿,
41,0x274,dialogue,narrative,電気ﾔ水が通ｯﾃｲﾙﾄﾊ……｡,22,卻通著電和水……。,人工定稿,
42,0x28c,system,system,0105,4,,未翻,
43,0x291,dialogue,narrative,_4_｢食料ﾊｱﾘﾏｼﾀ?｣,16,_4_｢有食物?｣,人工定稿,导入警告: kana_residue
44,0x2a2,system,system,s,1,,未翻,
45,0x2a4,system,system,0114,4,,未翻,
46,0x2a9,dialogue,narrative,_4_｢ﾝ､ｲﾔ｡,9,_4_｢沒有,人工定稿,导入警告: kana_residue
47,0x2b3,dialogue,narrative,_ﾎﾄﾝど何ﾓﾅｶｯﾀﾅ｡,15,_幾乎什麼都沒有,人工定稿,
48,0x2c4,dialogue,narrative,残ｯﾃﾙﾓﾉﾓ期限切ﾚが多ｶｯﾀﾖ｣,24,剩下的也大多過期了｣,人工定稿,导入警告: kana_residue
49,0x2e0,dialogue,narrative,彼女がトイレﾆ入ｯﾃｲﾙ間､,22,美紀進廁所的時候，,人工定稿,
50,0x2f8,dialogue,narrative,私ﾊ給湯室ｦ確認ｼﾃｲﾀ｡,19,我在確認茶水間。,人工定稿,
51,0x30c,dialogue,narrative,危険性ｦ考ｴﾙﾄ一緒ﾆ行動ｽﾙべｷﾅﾉだﾛｳが,34,考慮到危險，本應一起行動,人工定稿,
52,0x330,dialogue,narrative,彼女ﾄトイレで二人ｷﾘﾆﾅﾙ方が,26,和美紀在廁所獨處反而,人工定稿,
53,0x34c,dialogue,narrative,絶対ﾆ危険ﾅﾉで､ｺﾉﾖｳﾆｼﾀ｡,22,絶對危險，所以這麼做。,人工定稿,
54,0x364,dialogue,narrative,ﾌざｹﾃｲﾙﾜｹでﾅｸ､,14,不是開玩笑，,人工定稿,
55,0x374,dialogue,narrative,本当ﾆマジメﾆ危険だｶﾗ困ﾙ｡,24,是真的非常危險才傷腦筋。,人工定稿,
56,0x390,dialogue,narrative,ﾁﾅﾐﾆ給湯室ﾆｱｯﾀ食料ﾊ､,20,話説，茶水間的食物，,人工定稿,
57,0x3a8,dialogue,narrative,製造年月日が正ｼｲﾉでｱﾚば,23,如果製造日期正確的話,人工定稿,
58,0x3c0,dialogue,narrative,一年以内ﾆ用意ｻﾚﾀﾓﾉだｯﾀ｡,23,就是一年内準備的。,人工定稿,
59,0x3d8,dialogue,narrative,ｱﾉ人数で､最低限ﾉ食べ方ｦｽﾚば,27,以那人數，用最低限度的吃法,人工定稿,P7 校对修正: 最低限→最低限度
60,0x3f4,dialogue,narrative,明日ﾉ昼ﾏでﾊ脳ﾉ働ｷｦ阻害ｽﾙﾎどﾉ,28,到明天中午，不至於影響腦力，,人工定稿,P7 校对修正: 補分句逗號接下行
