seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t2_1_0_0.tob,27,,未翻,
2,0x1c,system,system,r2_t2_1_0_0.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_ターン2,12,ROM2_回合2,人工定稿,
4,0x3c,dialogue,label,ROM2_ターン2_協力者,19,ROM2_回合2_協力者,人工定稿,
5,0x50,dialogue,narrative,"""誰ﾓ調査ｻﾚﾃｲﾅｲ?""",16,"""誰都沒被調査?""",人工定稿,
6,0x61,dialogue,narrative,者,2,者,人工定稿,
7,0x64,dialogue,command,フェードアウト,14,,未翻,
8,0x74,dialogue,narrative,ロム2_協力者が必要,18,ROM2_需要協力者,人工定稿,
9,0x88,system,system,0423,4,,未翻,
10,0x8d,dialogue,narrative,_1_｢…………｣,13,_1_｢…………｣,人工定稿,导入警告: kana_residue
11,0x9b,system,system,.0106,5,,未翻,
12,0xa1,system,system,_1_0065,7,,未翻,
13,0xa9,dialogue,narrative,_1_重苦ｼｲ空気が場ｦ支配ｼﾃｲﾀ｡,27,_1_沈悶的空氣支配著現場。,人工定稿,
14,0xc8,dialogue,narrative,ｱﾚｶﾗ､ﾐﾝﾅでホールｦ出ﾃ,20,那之後大家出了大廳，,人工定稿,P7 校对修正
15,0xe0,dialogue,narrative,廊下ﾉ端ﾆｱﾙ休憩所ﾉﾖｳﾅスペースﾆ移動ｼﾀ｡,36,移動到走廊盡頭那處休息空間,人工定稿,
16,0x108,dialogue,narrative,ｻｽがﾆｱﾉホールﾆ長居ｼﾖｳﾄﾊ,23,果然，要在大廳久留,人工定稿,
17,0x120,dialogue,narrative,誰ﾓ思ﾜﾅｶｯﾀ｡,11,誰都沒想過,人工定稿,P7 校对修正
18,0x12c,dialogue,narrative,ｼｶｼ､一時間後ﾆﾊﾏﾀ,16,但一小時後又必須,人工定稿,
19,0x140,dialogue,narrative,ｱﾉホールﾆ行ｶﾅｹﾚばﾅﾗﾅｲ｡,22,去那個大廳。,人工定稿,
20,0x158,dialogue,narrative,メールが来ﾃｲﾀ｡,14,郵件來了。,人工定稿,
21,0x168,dialogue,narrative,送信者ﾊｲﾂﾓﾉ『Mailer-Daemon』｡,29,發件人照舊『Mailer-Daemon』。,人工定稿,
