seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t2_4_4_0.tob,27,,未翻,
2,0x1c,system,system,r2_t2_4_4_0.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_2ターン目終了後,20,ROM2_第2回合結束後,人工定稿,
4,0x44,dialogue,command,フェードアウト,14,,未翻,
5,0x54,dialogue,narrative,ロム2_2ターン目終了後,21,ROM2_第2回合結束後,人工定稿,
6,0x6c,dialogue,narrative,投票部屋ｶﾗホールﾍﾄ出ﾙﾄ､,23,走出投票室到大廳時，,人工定稿,
7,0x84,dialogue,narrative,樫沢氏ﾄ瞳が合ｯﾀ｡,16,與樫澤四目相對。,人工定稿,
8,0x98,system,system,0133,4,,未翻,
9,0x9d,dialogue,narrative,_4_｢浅川ｻﾝ､ご無事で｣,20,_4_｢淺川小姐，安好｣,人工定稿,P7 校对修正
10,0xb4,system,system,0501,4,,未翻,
11,0xb9,dialogue,narrative,_4_｢ｿﾚﾊｺﾁﾗﾉ台詞だ｡,18,_4_｢那是我台詞。｣,人工定稿,导入警告: kana_residue
12,0xcc,dialogue,narrative,今回ﾓ作戦ﾊ成功ﾉﾖｳだﾅ｣,21,這次作戰也成功了｣,人工定稿,导入警告: kana_residue
13,0xe4,dialogue,narrative,ｿｳ､ｺｺﾏでﾊ良ｶｯﾀ｡,15,對，目前都好。,人工定稿,P7 校对修正
14,0xf4,dialogue,narrative,だが……ｻｯｷﾊ､ｺﾉ続ｷがｱｯﾀ｡,24,但是……剛才還有後續。,人工定稿,
15,0x110,dialogue,narrative,樫沢氏以外ﾆ指名ｻﾚﾃｲﾀ人物が……｡,31,除了樫澤，還有被指名的人……。,人工定稿,
16,0x130,system,system,0055,4,,未翻,
17,0x135,dialogue,narrative,_4_｢ｱ､皆ｻﾝ｡,11,_4_｢各位。,人工定稿,导入警告: kana_residue
18,0x141,dialogue,narrative,_0.良ｶｯﾀ､今回ﾓ大丈夫だｯﾀﾝでｽﾈ｣,30,_0.太好了，這次也沒事｣,人工定稿,导入警告: kana_residue
19,0x160,system,system,0502,4,,未翻,
20,0x165,dialogue,narrative,_4_｢……薫ｻﾝ｡ｱﾅﾀﾓ無事だｯﾀｶ｣,27,_4_｢……薰，也平安無事?｣,人工定稿,导入警告: kana_residue
21,0x184,system,system,0056,4,,未翻,
22,0x189,dialogue,narrative,_4_｢ｴｴ｡,7,_4_｢是,人工定稿,导入警告: kana_residue
23,0x191,dialogue,narrative,_4_でﾓ､扉が開ｶﾅｶｯﾀﾗﾄ思ｳﾄ､,25,_4_不過，想到門不開，,人工定稿,
24,0x1ac,dialogue,narrative,ゾッﾄｼﾏｽﾈ｣,10,就會發毛｣,人工定稿,P7 校对修正
25,0x1b7,system,system,.0134,5,,未翻,
26,0x1bd,dialogue,narrative,_4_｢ﾏｯﾀｸでｽ｡,12,_4_｢真是的。,人工定稿,导入警告: kana_residue
27,0x1ca,dialogue,narrative,0.少ｼばｶﾘ胃が痛ｸﾅｯﾃｷﾏｼﾀﾖ｣,25,0.胃都有點痛起來了｣,人工定稿,P7 校对修正
28,0x1e4,system,system,0020,4,,未翻,
29,0x1e9,dialogue,narrative,_4_｢ｴ､樫沢ｻﾝ胃ﾉ調子が悪ｲﾉでｽｶ?,30,_4_｢欸，樫澤胃不舒服?,人工定稿,导入警告: kana_residue
30,0x208,dialogue,narrative,大丈夫でｽｶ?｣,12,沒事?｣,人工定稿,导入警告: kana_residue
31,0x215,system,system,ts,2,,未翻,
32,0x218,system,system,0135,4,,未翻,
33,0x21d,dialogue,narrative,_4_｢ｱｱ､気ﾆｼﾅｲでｸだｻｲ｡,21,_4_｢呀，別在意。,人工定稿,导入警告: kana_residue
34,0x234,dialogue,narrative,ｲﾂﾓﾉｺﾄでｽｶﾗ｡胃薬ﾓ持ｯﾃｲﾏｽｼ｣,26,老毛病了。胃藥也帶了｣,人工定稿,导入警告: kana_residue
35,0x250,dialogue,narrative,どｳﾔﾗ紅春ｸﾝﾓ無事だｯﾀﾗｼｲ｡,24,看來紅春也沒事。,人工定稿,
36,0x26c,dialogue,narrative,ﾄﾊｲｴ､彼女ﾊ誰ﾆﾓ指名ｻﾚﾃｲﾅｶｯﾀｶﾗ,28,話雖如此，他沒被任何人指名,人工定稿,P7 校对修正
37,0x28c,dialogue,narrative,当然でﾊｱﾙが……｡,16,理所當然……。,人工定稿,
38,0x2a0,dialogue,narrative,……ﾑｼﾛ､心配ｽﾙべｷ相手ﾊ……｡,27,……反倒該擔心的對象……。,人工定稿,
39,0x2bc,dialogue,narrative,次々ﾆ投票部屋ﾉ扉が開ｸ｡,22,投票室的門接連打開。,人工定稿,
40,0x2d4,dialogue,narrative,出ﾃｸﾙ者ﾉ顔ｦ確認ｼﾖｳﾄ思ｯﾀﾄｺﾛで,28,正想確認出來的人臉時,人工定稿,
41,0x2f4,dialogue,narrative,ポケットﾉ携帯が震ｴﾀ｡,20,口袋的手機震動了。,人工定稿,
42,0x30c,system,system,0503,4,,未翻,
43,0x311,dialogue,narrative,_4_｢……ﾏｻｶ､ﾅ｣,14,_4_｢……該不會,人工定稿,导入警告: kana_residue
