seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t7_1_3_0.tob,27,,未翻,
2,0x1c,system,system,r2_t7_1_3_0.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_ターン7_紅春ﾄﾉ対決,23,ROM2_回合7_與紅春的對決,人工定稿,
4,0x44,dialogue,narrative,ロム2_ターン7_紅春ﾄﾉ対決,24,ROM2_回合7_與紅春的對決,人工定稿,
5,0x60,dialogue,narrative,何ｶ､聞ｷ出ｽ方法ﾊﾅｲｶﾄ,19,有無問出情報的方法,人工定稿,
6,0x74,dialogue,narrative,思考ｦ張ﾘ巡ﾗｾﾃｲﾙﾄ､,17,"正苦苦思索時,",人工定稿,
7,0x88,dialogue,narrative,Xﾊ携帯ｦ取ﾘ出ｼﾀ｡,15,X取出了手機。,人工定稿,
8,0x98,system,system,0152,4,,未翻,
9,0x9d,dialogue,narrative,_1_｢ｱﾗ｡ｿﾛｿﾛ投票ﾉ時間でｽﾈ｡,25,"_1_｢哦,投票時間快到了。｣",人工定稿,P7 校对修正: 補『あら』(哦)与『そろそろ』(快); ですね 保持陈述
10,0xb8,dialogue,narrative,楓ｻﾝﾄﾓ､ｺﾚでｵ別ﾚでｽﾈ｡ｻﾖｳﾅﾗ｣,26,｢和楓小姐也永別了。再見｣,人工定稿,P7 校对修正: 補『とも』的『也』
11,0xd4,system,system,0889,4,,未翻,
12,0xd9,dialogue,narrative,_1_｢ﾏ､待ﾁﾅﾖ!｣,13,_1_｢等等!｣,人工定稿,
13,0xe7,dialogue,narrative,.咄嗟ﾆXﾉ前ｦ立ﾁ塞ぐ美紀ｸﾝ｡,25,.美紀立刻堵在X面前。,人工定稿,
14,0x104,dialogue,narrative,オフィス跡ﾊ机が多ｸ狭ｲﾀﾒ､美紀ｸﾝﾉ横ｦ通ﾘ,37,"事務室舊址書案多狹窄,想從美紀身側通過",人工定稿,"P7 校对修正: 机(桌)误读为机器, 全库已校对块作 書案"
15,0x12c,dialogue,narrative,抜ｹﾙｺﾄﾊでｷﾅｲ｡,13,根本過不去。,人工定稿,
16,0x13a,system,system,s,1,,未翻,
17,0x13c,system,system,0153,4,,未翻,
18,0x141,dialogue,narrative,_1_｢退ｲﾃｸﾚﾅｲﾉでｼﾀﾗ……｣,23,_1_｢不肯走開的話……｣,人工定稿,
19,0x15c,dialogue,narrative,彼女ﾊﾜざﾄﾗｼｸ肩ｦｽｸﾒﾙﾄ､,21,"他故意誇張地縮了縮肩,",人工定稿,
20,0x174,dialogue,narrative,机ﾉ上ﾆﾖじ登ｯﾃ歩ｲﾃ行ｯﾀ｡,22,爬上書案走了過去。,人工定稿,P7 校对修正: 机面→書案(桌面)
21,0x18c,system,system,0890,4,,未翻,
22,0x191,dialogue,narrative,_1_｢ｱｰｯ､ﾁｮｯﾄ! ｺﾗｯ!,18,"_1_｢哇,等等!欸!｣",人工定稿,"P7 校对修正: 补『こらっ』(欸, 全库惯例)"
23,0x1a4,dialogue,narrative,反則でｼｮｿﾚﾊｰ!｣,14,犯規呀――!｣,人工定稿,
24,0x1b4,system,system,1287,4,,未翻,
25,0x1b9,dialogue,narrative,_1_｢待ﾃ美紀ｸﾝ｡,14,"_1_｢等等,美紀!",人工定稿,P7 校对修正: 漏译呼称『美紀クン』
26,0x1c8,dialogue,narrative,足ｦ掴ﾝで転びでﾓｼﾀﾗ､,19,"抓住脚絆倒的話,",人工定稿,
27,0x1dc,dialogue,narrative,暴力ﾆﾅﾙぞ｣,10,算暴力哇｣,人工定稿,
28,0x1e7,system,system,.0891,5,,未翻,
29,0x1ed,dialogue,narrative,_1_｢でﾓ……｣,12,_1_｢但……｣,人工定稿,P7 校对修正: 补连接词『でも』
30,0x1fa,system,system,0.1288,6,,未翻,
31,0x201,dialogue,narrative,_1_｢ｿﾚﾖﾘ､私達ﾓ急ぐべｷでﾊﾅｲｶ?｣,29,"_1_｢話説,我們也該快點,對不?｣",人工定稿,P7 校对修正: 补『それより』; べきではないか 按 v1.4 用『對不?』
32,0x220,system,system,0892,4,,未翻,
33,0x225,dialogue,narrative,_1_｢ｴｯ……ｱｯ……｣,17,_1_｢欸……哦……｣,人工定稿,"P7 校对修正: 补『あっ』(哦, 顿悟)"
34,0x238,dialogue,narrative,目配ｾｦｽﾚば､美紀ｸﾝﾊハッﾄｼﾀ顔ﾆﾅﾘ､,31,"使個眼色,美紀君恍然大悟,",人工定稿,P7 校对修正: 目配せ 是『使眼色』非『眼神交會』
35,0x258,dialogue,narrative,ｿｼﾃ､走ﾘ出ｽ｡,11,衝了出去。,人工定稿,
36,0x264,system,system,0154,4,,未翻,
37,0x269,dialogue,narrative,_1_｢ｿﾝﾅﾆ急がﾅｸﾃﾓ……｣,21,_1_｢別急成這樣……｣,人工定稿,
38,0x280,dialogue,narrative,彼女ﾓ､ﾊｯﾄ気付ｸ｡,15,他也猛然察覺。,人工定稿,
39,0x290,system,system,0155,4,,未翻,
40,0x295,dialogue,narrative,_1_｢……ｿﾚﾄﾓ､ﾏｻｶ……何ｶ仕掛ｹｦ!?｣,32,_1_｢……還是……做了手脚!?｣,人工定稿,
41,0x2b8,system,system,0893,4,,未翻,
42,0x2bd,dialogue,narrative,_1_｢ﾁｯ｡気付ｶﾚﾀｯｽﾈ｣,18,"_1_｢切,被察覺了呀｣",人工定稿,P7 校对修正: 补『〜っすね』的随意语尾
43,0x2d0,system,system,1289,4,,未翻,
44,0x2d5,dialogue,narrative,_1_｢構ﾜﾅｲ｡急ｲで走ﾚ!｣,20,"_1_｢算了,快走!｣",人工定稿,
45,0x2ec,system,system,0156,4,,未翻,
46,0x2f1,dialogue,narrative,_1_｢待ﾁﾅｻｲ!｣,12,_1_｢等一下!｣,人工定稿,"P7 校对修正: 待ちなさい 命令语气, 补『!』"
47,0x2fe,dialogue,narrative,0.彼女ﾊ後ﾛｶﾗ私達ｦ追ｯﾃ来ﾀ｡,25,0.他從身後向我們追來。,人工定稿,P7 校对修正: 漏译『私達を』
48,0x318,dialogue,narrative,オフィス跡ｦ出ﾙﾄ､,16,走出事務室舊址，,人工定稿,
49,0x32c,dialogue,narrative,ｽぐﾉﾄｺﾛで薫ｻﾝﾄﾊﾙｶｸﾝが姿ｦ見ｾﾙ｡,29,就在附近，薰和遙現身了。,人工定稿,
50,0x34c,dialogue,narrative,思ﾜずぶﾂｶﾘｿｳﾆﾅﾙﾉｦ､何ﾄｶ避ｹﾀ｡,27,"差點撞上去,幸好避開了。",人工定稿,
51,0x368,system,system,0046,4,,未翻,
52,0x36d,dialogue,narrative,_1_｢ｷｬｯ!?｣,10,_1_｢哇!?｣,人工定稿,P7 校对修正: 补原文『!?』
53,0x378,system,system,1290,4,,未翻,
54,0x37d,dialogue,narrative,_1_｢二人ﾄﾓ､ｺｺﾆｲﾙﾄｲｳｺﾄﾊ……｣,27,"_1_｢二位都在這裡,説明……｣",人工定稿,"P7 校对修正: ということは=説明……, 非条件『的話』"
55,0x39c,system,system,0179,4,,未翻,
56,0x3a1,dialogue,narrative,_1_｢ﾊｲ､電源入ﾘﾏｼﾀ!｣,19,"_1_｢好,通電了!｣",人工定稿,
57,0x3b8,system,system,0894,4,,未翻,
58,0x3bd,dialogue,narrative,_1_｢ﾖｼ､行ｸぞ!!｣,15,"_1_｢好,走咯!!｣",人工定稿,P7 校对修正: よし、行くぞ 与兄弟块统一为『走咯』
59,0x3cd,system,system,ts,2,,未翻,
60,0x3d0,dialogue,narrative,半ば駆ｹ込ﾑﾖｳﾆｼﾃホールﾆ入ﾙﾄ､,27,幾乎是衝進大廳，,人工定稿,
61,0x3ec,dialogue,narrative,私ﾊ予ﾒ決ﾒﾃｵｲﾀ自分ﾉ部屋ﾍﾄ入ｯﾀ｡,29,我走進自己事先定好的房間。,人工定稿,
62,0x40c,dialogue,narrative,急ｲで腕輪ｦ接続ｼﾃドアｦロックｽﾙ｡,30,急忙接上手環，把門鎖定。,人工定稿,
63,0x42c,system,system,1291,4,,未翻,
64,0x431,dialogue,narrative,_1_｢ｺﾚでｲｲ｡他ﾉﾐﾝﾅﾊ?｣,20,_1_｢行了。其他人?｣,人工定稿,
65,0x448,dialogue,narrative,視線ｦ入口ﾆ向ｹﾚば､,17,"把視線投向入口,",人工定稿,
