seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t1_1_0.tob,25,,未翻,
2,0x1c,system,system,r2_t1_1_0.sts,13,,未翻,
3,0x2c,dialogue,label,ROM2_ターン1,12,ROM2_回合1,人工定稿,
4,0x3c,dialogue,label,ROM2_プロローグ,15,ROM2_序幕,人工定稿,
5,0x4c,dialogue,command,フェードアウト,14,,未翻,
6,0x5c,dialogue,narrative,ロム2_美紀ﾆ起ｺｻﾚﾙ,17,ROM2_被美紀叫醒,人工定稿,
7,0x70,system,system,0000,4,,未翻,
8,0x75,dialogue,narrative,_1_｢……ﾃ……ｵｷ……｣,20,_1_｢…起……來……｣,人工定稿,导入警告: kana_residue
9,0x8c,dialogue,narrative,――耳元で聞ｷ慣ﾚﾀ声がｽﾙ｡,24,――耳邊響起熟悉的聲音。,人工定稿,
10,0xa8,system,system,0001,4,,未翻,
11,0xad,dialogue,narrative,_1_｢……起ｷﾃ…………ﾏ……｣,26,_1_｢……起來…………還…｣,人工定稿,导入警告: kana_residue
12,0xc8,dialogue,narrative,ぺｼぺｼﾄ頬ｦ叩ｶﾚﾙ｡,16,輕拍著臉。,人工定稿,
13,0xdc,dialogue,narrative,……美紀ｸﾝｶ｡,12,……美紀呀。,人工定稿,"P7 校对修正: か 认识句尾, 去兜底'哦'"
14,0xec,dialogue,narrative,意識ﾊｱﾙﾉだが､頭が重ｸﾃ思考が回ﾗﾅｲ｡,33,有意識，但頭很重，無法思考。,人工定稿,
15,0x110,dialogue,narrative,身体ｦ動ｶｿｳﾄｲｳ気ﾆﾅﾚﾅｲ……｡,25,不想動身體……。,人工定稿,
16,0x12c,system,system,0002,4,,未翻,
17,0x131,dialogue,narrative,_1_｢ｵ姉ｻﾏｰｯ! ｼｯｶﾘｼﾃ下ｻｲﾖｫ……｣,30,_1_｢姐姐大人!你振作一點呀……｣,人工定稿,导入警告: kana_residue
18,0x150,dialogue,narrative,……ﾏだ眠ｲﾉだ｡,14,……還想睡。,人工定稿,
19,0x160,dialogue,narrative,起ｷﾀｸﾅｲ｡,8,不想起來,人工定稿,
20,0x169,dialogue,narrative,.st放ｯﾃｵｲﾃｸﾚﾅｲだﾛｳｶ……｡,24,.st能不能放過我……。,人工定稿,
21,0x184,system,system,0003,4,,未翻,
22,0x189,dialogue,narrative,_1_｢……起ｷﾅｲ｡,14,_1_｢……不起來,人工定稿,导入警告: kana_residue
23,0x198,dialogue,narrative,ﾄｲｳｺﾄﾊ､起ｷﾅｲﾝｽﾈ｡,16,就是不起來咯。,人工定稿,
24,0x1ac,dialogue,narrative,ﾇﾌﾌ……｣,8,呵呵…｣,人工定稿,导入警告: kana_residue
25,0x1b5,system,system,.st0004,7,,未翻,
26,0x1bd,dialogue,narrative,_1_｢ｵ姉ｻﾏｰ! ﾝｰ……｣,19,_1_｢姐姐大人!唔…｣,人工定稿,导入警告: kana_residue
27,0x1d4,dialogue,narrative,｢ﾔﾒﾛ｣,5,｢停｣,人工定稿,导入警告: kana_residue
28,0x1da,system,system,1_0005,6,,未翻,
29,0x1e1,dialogue,narrative,_1_｢ﾝﾐｭ……｣,12,_1_｢唔……｣,人工定稿,导入警告: kana_residue
30,0x1ee,system,system,st0006,6,,未翻,
31,0x1f5,dialogue,narrative,_1_｢ﾋｬﾆﾌﾙﾝﾌﾊ｣,13,_1_｢唔哩呼哇｣,人工定稿,导入警告: kana_residue
32,0x203,dialogue,narrative,t｢今､何ｦｼﾖｳﾄｼﾃｲﾀ｣,17,t｢剛才想做什麼｣,人工定稿,导入警告: kana_residue
33,0x218,system,system,0007,4,,未翻,
34,0x21d,dialogue,narrative,_1_｢ｲﾊﾙﾗ……｣,13,_1_｢呀呀呀…｣,人工定稿,导入警告: kana_residue
35,0x22b,dialogue,narrative,t油断ﾓ隙ﾓｱｯﾀﾓﾝじｬﾅｲﾅ｡,21,t根本不能大意呀。,人工定稿,P7 校对修正: 油断も隙もあったもんじゃない=negation 误翻反转(非'疏忽大意')
36,0x244,dialogue,narrative,｢……ﾑ｡,7,｢…唔。,人工定稿,导入警告: kana_residue
37,0x24c,dialogue,narrative,ｺｺﾊ……｣,8,這裡…｣,人工定稿,导入警告: kana_residue
38,0x255,dialogue,narrative,.st美紀ｸﾝﾉ大アップが邪魔で,26,.st美紀的特寫遮住視線,人工定稿,
39,0x270,dialogue,narrative,ｽぐﾆ気づｶﾅｶｯﾀが､,16,沒立刻察覺，,人工定稿,
40,0x284,dialogue,narrative,どｳﾓ見慣ﾚﾅｲ場所ﾉﾖｳだ｡,21,像個陌生的地方。,人工定稿,
41,0x29c,dialogue,narrative,尻ﾉ下ﾆｱﾙﾉﾊ堅ｲ床で､,18,臀下是堅硬地板，,人工定稿,
42,0x2b0,dialogue,narrative,背中ﾆｱﾙﾉﾊ無機質ﾅ壁｡,19,背後是冰冷牆。,人工定稿,
43,0x2c4,dialogue,narrative,どｺｶﾆ来ﾃ､座ﾘ込ﾝで眠ｯﾃｼﾏｯﾀ?,26,來到某處坐下睡著了？,人工定稿,
44,0x2e0,dialogue,narrative,記憶がﾅｲ｡,9,沒記憶。,人工定稿,
45,0x2ea,dialogue,narrative,st私ﾊ酒でﾓ呑ﾝで泥酔ｼﾃｲﾀﾉだﾛｳｶ?,30,st我是不是喝醉了？,人工定稿,
46,0x30c,dialogue,narrative,｢……ﾄﾘｱｴず動ｷﾀｲﾉだが､,22,｢……總之先動一下，,人工定稿,导入警告: kana_residue
47,0x324,dialogue,narrative,どｲﾃﾓﾗｴﾅｲだﾛｳｶ｣,15,能不能讓開｣,人工定稿,导入警告: kana_residue
48,0x334,system,system,0008,4,,未翻,
49,0x339,dialogue,narrative,_1_｢ｳｩｩ……｣,12,_1_｢嗚嗚…｣,人工定稿,导入警告: kana_residue
50,0x346,dialogue,narrative,stロム2_状況把握,16,stROM2_掌握状況,人工定稿,
51,0x358,dialogue,narrative,彼女ﾊ大人ｼｸ言ｳｺﾄｦ聞ｲﾃ,21,美紀乖乖聽話，,人工定稿,
52,0x370,dialogue,narrative,私ﾉ前ｶﾗ立ﾁ上がﾙ｡,16,從我面前站起。,人工定稿,
53,0x384,system,system,0009,4,,未翻,
54,0x389,dialogue,narrative,_1_｢ｲﾀﾀ……ｵ姉ｻﾏ酷ｲｯｽﾖ｣,23,_1_｢好痛…姐姐大人過分｣,人工定稿,导入警告: kana_residue
55,0x3a4,dialogue,narrative,｢眠ｯﾃｲﾙ者ﾆｲﾀずﾗｦ仕掛ｹﾙﾉﾊ,24,｢對睡著的人惡作劇，,人工定稿,机翻警告: quote_unbalanced; 导入警告: kana_residue
56,0x3c0,dialogue,narrative,酷ｸﾅｲﾉｶ?｣,9,不過分？｣,人工定稿,导入警告: kana_residue
57,0x3ca,system,system,st0010,6,,未翻,
58,0x3d1,dialogue,narrative,_1_｢愛情表現でｽﾓﾝ!｣,19,_1_｢這是愛的表達!｣,人工定稿,导入警告: kana_residue
59,0x3e8,dialogue,narrative,｢ｿﾚで許ｻﾚﾙﾅﾗ,12,｢這樣能原諒,人工定稿,导入警告: kana_residue
60,0x3f8,dialogue,narrative,全国ﾉ痴漢どﾓが大歓喜だﾛｳﾅ｣,26,全國的色狼都狂喜咯｣,人工定稿,导入警告: kana_residue
61,0x414,system,system,0011,4,,未翻,
62,0x419,dialogue,narrative,_1_｢痴漢ﾊ許ｾﾅｲｯｽ!,17,_1_｢色狼不可原諒!,人工定稿,导入警告: kana_residue
63,0x42c,dialogue,narrative,見ｶｹﾀﾗぶｯ飛ばｼﾏｽ!｣,18,看到就打飛!｣,人工定稿,机翻警告: quote_unbalanced; 导入警告: kana_residue
64,0x440,dialogue,narrative,｢ｳﾑ｡,4,｢唔｡,人工定稿,导入警告: kana_residue
65,0x445,dialogue,narrative,_1_ﾏ､君ﾉ拳ﾊ凶器ﾅﾉだｶﾗ､ﾎどﾎどﾆﾅ｣,31,_1_算了，拳頭是凶器，適可而止｣,人工定稿,导入警告: kana_residue
