seq,anchor,kind,role,orig,orig_bytes,trans,status,note
1,0x0,system,system,../tob/rom2/r2_t4_1_0_0.tob,27,,未翻,
2,0x1c,system,system,r2_t4_1_0_0.sts,15,,未翻,
3,0x2c,dialogue,label,ROM2_ターン4,12,ROM2_回合4,人工定稿,
4,0x3c,dialogue,label,ROM2_ターン4_ﾂﾑじがシルキラ,27,ROM2_回合4_旋是連環殺手,人工定稿,
5,0x58,dialogue,narrative,ターン4_ﾂﾑじバッド,18,回合4_旋壞,人工定稿,
6,0x6b,dialogue,narrative,ャtェードアウト,15,ャt淡出,人工定稿,导入警告: kana_residue
7,0x7c,dialogue,narrative,ロム2_ﾂﾑじがシルキラ,20,ROM2_旋是連環殺手,人工定稿,
8,0x94,dialogue,narrative,重ｲ空気が場ｦ支配ｽﾙ｡,19,沈重氣氛籠罩全場。,人工定稿,P7 校对修正
9,0xa8,dialogue,narrative,ｵｼｬべﾘﾅ美紀ｸﾝでｻｴ､,18,連愛説話的美紀，,人工定稿,
10,0xbc,dialogue,narrative,今ﾊ口ｦ開ｺｳﾄﾊｼﾅｲ｡,16,現在都不肯開口。,人工定稿,P7 校对修正
11,0xd0,dialogue,narrative,投票ﾉｱﾄﾆﾊ必ず､不気味ﾅ笑ｲ声ｦ上げﾃｲﾀ,34,毎次投票後總會發出詭異笑聲。,人工定稿,P7 校对修正
12,0xf4,dialogue,narrative,ジャック氏ﾊ､ﾓｳｲﾅｲ｡,18,傑克已經不在了。,人工定稿,
13,0x108,system,system,0038,4,,未翻,
14,0x10d,dialogue,narrative,_1_｢……ｳ､ｳｳ……ｯ､ぐｽｯ……｣,27,_1_｢……嗚、嗚嗚……抽噎｣,人工定稿,P7 校对修正
15,0x12c,dialogue,narrative,霞ｸﾝﾉ嗚咽が静寂ﾆ響ｸ｡,20,霞的嗚咽響徹寂靜。,人工定稿,
16,0x144,dialogue,narrative,側ﾆｲﾀ森崎氏が心配ｿｳﾅ顔で彼女ｦ見ﾃｲﾀ｡,35,身旁的森崎一臉擔心地看著霞。,人工定稿,P7 校对修正
17,0x168,system,system,0087,4,,未翻,
18,0x16d,dialogue,narrative,_1_｢……三上……大丈夫……ｶ?｣,29,_1_｢……三上……沒事?｣,人工定稿,导入警告: kana_residue
19,0x18c,system,system,0059,4,,未翻,
